"KOD","BIRTOKTER","MEGYEKOD","MEGYENEV","BIRTOKNEV","Y1382","Y13820","NEV_1382","Y1439","Y14390","NEVE_1439","Y1498","Y14980","NEVE_1498","v82_39","v39_98","v_82_98","v1","v2","v3"
"ZL86","14.7","ZL","Zala m.","Andráshida","nemesi","","Terjék","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL110","5.3","ZL","Zala m.","Gyurus","nemesi","Ják","Sitkei","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL143","59.6","ZL","Zala m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL237","10.6","ZL","Zala m.","Kisfalud","egyházi","székeskáptalan","veszprémi","egyházi","székeskáptalan","veszprémi káptalan","egyházi","székeskáptalan","veszprémi káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ZL170","13.8","ZL","Zala m.","Mindszentkál","egyházi","püspök","veszprémi","egyházi","püspök","veszprémi püspök","egyházi","püspök","veszprémi püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ZL112","3.6","ZL","Zala m.","Vöckönd","egyházi","bencések","kapornaki apát","egyházi","bencések","kapornaki apát","egyházi","bencések","kapornaki apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"TD27","32.2","TD","Torda m.","Rücs","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL228","8","ZL","Zala m.","Akali","egyházi","bencések","tihanyi apát","egyházi","bencések","tihanyi apát","egyházi","bencések","tihanyi apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZO18","17.3","SZO","Szolnok m.","Ság","egyházi","bencések","garamszentbenedeki apát","egyházi","bencések","garamszentbenedeki apát","egyházi","bencések","garamszentbenedeki apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"VS73","196.3","VS","Vas m.","Szalafo","királyi","királyi honor","vasi-soproni ispánság","bárói","Lévai Cseh Péter","","bárói","Újlaki Lorinc","németújvári urad. (Ôrség)","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"BI125","11.3","BI","Bihar m.","Fazekasvarsány","nemesi","","Hodosi","nemesi","","Jakó","nemesi","","Jakó","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"VP132","40.1","VP","Veszprém m.","Dég","","","","egyházi","társaskáptalan","fehérvári káptalan","egyházi","társaskáptalan","fehérvári káptalan","  > egyházi","egyházi > egyházi","  > egyházi","3","18","3"
"SZK2","3211.1","SZK","Székelyföld","Udvarhely","királyi","székelyek","","királyi","székelyek","","királyi","Székelyföld","Udvarhely szék","királyi > királyi","királyi > királyi","királyi > királyi","14","28","20"
"ZL171","15.6","ZL","Zala m.","Gyulakeszi","nemesi","Rátót","Gyulafi","nemesi","","Gyulafi","nemesi","","Gyulafi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL76","12.8","ZL","Zala m.","Lövo","nemesi","","Salamonvári","nemesi","","Ost János (herbortyai)","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SM3","24.5","SM","Somogy m.","Jód","egyházi","társaskáptalan","fehérvári","egyházi","társaskáptalan","fehérvári káptalan","egyházi","társaskáptalan","fehérvári káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ZL77","8.7","ZL","Zala m.","Cséb","nemesi","","Pogány","nemesi","","Pogány","nemesi","","Pogány","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
