"KOD","BIRTOKTER","MEGYEKOD","MEGYENEV","BIRTOKNEV","Y1382","Y13820","NEV_1382","Y1439","Y14390","NEVE_1439","Y1498","Y14980","NEVE_1498","v82_39","v39_98","v_82_98","v1","v2","v3"
"ESZ8","34.6","ESZ","Esztergom m.","Lábatlan","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PE9","29.9","PE","Pest m.","Hartyán","nemesi","Ákos","Mikcsfi","nemesi","","Gatályi","nemesi","","Ellyevölgyi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PE11","28.1","PE","Pest m.","Újfalu","nemesi","Zsidó","Nézsai","nemesi","","Nézsai és Csövi","bárói","Ráskai Balázs","csovári urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"SZB42","147.2","SZB","Szabolcs m.","Csege","királyi","királyi honor","hevesi-szabolcsi ispán","nemesi","","Agárdi","bárói","Corvin János","debreceni urad.","királyi > nemesi","nemesi > bárói","királyi > bárói","15","32","17"
"SN51","50.2","SN","Sopron m.","Bala","nemesi","Osli","Lózsi","nemesi","","","idegen","Ausztria","","nemesi > nemesi","nemesi > idegen","nemesi > idegen","20","34","26"
"SZR49","17.7","SZR","Szatmár m.","Piskárkos","nemesi","","Piskárkosi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BSZ2","128","BSZ","Belso-Szolnok m.","Tokés","nemesi","Hermán","Szentgyörgyi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"GY10","26.7","GY","Gyor m.","Vámos","egyházi","székeskáptalan","gyori","egyházi","székeskáptalan","gyori káptalan","egyházi","székeskáptalan","gyori káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"HS59","42.9","HS","Heves m.","Mezotárkány","egyházi","székeskáptalan","egri","egyházi","székeskáptalan","egri káptalan","egyházi","székeskáptalan","egri káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"HS40","18.3","HS","Heves m.","Tas","nemesi","","Kókai","királyi","királyné","szandai urad.","","ismeretlen birtokos","","nemesi > királyi","királyi >","nemesi >","19","23","23"
"PE12","49.7","PE","Pest m.","Mácsa","nemesi","Zsidó","Zsidói","bárói","Rozgonyi család","","bárói","Rozgonyi István","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"HS47","43","HS","Heves m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS58","178.3","HS","Heves m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SN47","64.7","SN","Sopron m.","Pomogy","nemesi","","Fraknói","nemesi","","Fraknói","idegen","Ausztria","fraknói urad.","nemesi > nemesi","nemesi > idegen","nemesi > idegen","20","34","26"
"PE67","14.6","PE","Pest m.","Versegd","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS49","23.2","HS","Heves m.","Nagyút","nemesi","Kacsics","Szécsényi","nemesi","","","nemesi","","Bebek, ismeretlen","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"KM18","17.2","KM","Komárom m.","Koppánmonostor","egyházi","bencések","koppánmonostori apát","egyházi","bencések","koppánmonostori apát","egyházi","bencések","koppánmonostori apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"HS43","46.4","HS","Heves m.","Hort","nemesi","","Acsai","bárói","Pálóci László és Simon","","bárói","Pálóci Antal","ajnácskoi urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"KM32","3.8","KM","Komárom m.","Zsitvato","egyházi","püspök","nyitrai","egyházi","püspök","nyitrai","egyházi","püspök","nyitrai püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"KSZ1","96.1","KSZ","Közép-Szolnok m.","Daróc","királyi","királyi honor","szatmári ispán","bárói","Csáki Ferenc","","nemesi","","Csáki","királyi > bárói","bárói > nemesi","királyi > nemesi","11","13","21"
"KM33","21.6","KM","Komárom m.","Neszmély","nemesi","","Poroszlói","királyi","királyné","komáromi ispánság","királyi","király","komáromi urad.","nemesi > királyi","királyi > királyi","nemesi > királyi","19","28","27"
"KM17","77.3","KM","Komárom m.","Ács","nemesi","","Cudar","bárói","Cudar Simon","","nemesi","","","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"PE5","6.4","PE","Pest m.","Csörög","egyházi","püspök","váci","egyházi","püspök","váci püspök","egyházi","püspök","váci püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ESZ31","8.4","ESZ","Esztergom m.","Szentlélek","egyházi","pálosok","szentléleki","egyházi","pálosok","szentléleki","egyházi","pálosok","szentléleki","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"KM15","4.2","KM","Komárom m.","Érseklél","egyházi","érsek","esztergomi érsek","egyházi","érsek","esztergomi érsek","egyházi","érsek","esztergomi érsek","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ESZ29","7.5","ESZ","Esztergom m.","Mogyorós","nemesi","Zoárd","Karvai","nemesi","","","","ismeretlen birtokos","","nemesi > nemesi","nemesi >","nemesi >","20","31","23"
"SN19","25.7","SN","Sopron m.","Baumgarten","nemesi","","Weitraher","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PI5","20.7","PI","Pilis m.","Kékes","egyházi","pálosok","kékesi","egyházi","pálosok","kékesi","egyházi","pálosok","kékesi","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"GY12","87.7","GY","Gyor m.","Szentiván","egyházi","bencések","pannonhalmi apát","egyházi","bencések","pannonhalmi apát","egyházi","bencések","pannonhalmi apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZB41","110.8","SZB","Szabolcs m.","Hort","nemesi","","Pércsi","nemesi","","Pércsi","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI2","96","BI","Bihar m.","Sámson","vegyes","","vegyes","vegyes","","","vegyes","","Corvin, Parlagi, Zólyomi","vegyes > vegyes","vegyes > vegyes","vegyes > vegyes","22","41","32"
"NO84","18.9","NO","Nógrád m.","Heréd","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SN18","11.5","SN","Sopron m.","Schattendorf","nemesi","","Fraknói","nemesi","","Fraknói","idegen","Ausztria","fraknói urad.","nemesi > nemesi","nemesi > idegen","nemesi > idegen","20","34","26"
"PE8","19.4","PE","Pest m.","Rátót","nemesi","Rátót","","nemesi","","","nemesi","","Kakas, Pásztói","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZR96","59.2","SZR","Szatmár m.","Szaniszló","nemesi","Gútkeled","Bátori","bárói","Bátori (ecsedi és somlyói)","","bárói","Bátori (ecsedi és somlyói)","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"PI4","14.8","PI","Pilis m.","Leányfalu","királyi","királyi honor","visegrádi urad.","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"HS97","12.7","HS","Heves m.","Prépostfalva","egyházi","premontreiek","hatvani prépost","egyházi","premontreiek","hatvani prépost","egyházi","premontreiek","hatvani prépost","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SN4","18.3","SN","Sopron m.","Márc","nemesi","Osli","","nemesi","","","idegen","Ausztria","fraknói és kismartoni uirad.","nemesi > nemesi","nemesi > idegen","nemesi > idegen","20","34","26"
"SZR104","25.6","SZR","Szatmár m.","Fülöp","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZB40","37.1","SZB","Szabolcs m.","Malátom","nemesi","Gútkeled","Zeleméri","nemesi","","Zeleméri","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS100","40.1","HS","Heves m.","Poroszlóiván","nemesi","","Poroszlói","nemesi","","","bárói","Rozgonyi István","cserépi urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"ESZ30","41.4","ESZ","Esztergom m.","Dorog","egyházi","székeskáptalan","esztergomi","egyházi","székeskáptalan","esztergomi káptalan","egyházi","székeskáptalan","esztergomi káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"KM16","18","KM","Komárom m.","Zelebeg","nemesi","Csór","Gönyui","bárói","Hédervári Lorinc","","bárói","Hédervári Ferenc","hédervári urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"PE6","46.7","PE","Pest m.","Szod","nemesi","Balog","Szécsi","bárói","Szécsi János (felsolendvai)","","bárói","Szécsi Miklós","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"GY13","41.3","GY","Gyor m.","Gönyu","nemesi","Csór","Gönyui","bárói","Hédervári Lorinc","","bárói","Hédervári Ferenc","hédervári urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"PE68","21.9","PE","Pest m.","Mindszent","","","","","","","","ismeretlen birtokos","","  >","  >","  >","1","1","1"
"BSD56","16.9","BSD","Borsod m.","Bábolna","nemesi","Koppán","Kemeji-Montaji","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS45","61.1","HS","Heves m.","Atkár","nemesi","Aba","Körüi Kompolt","bárói","Kompolti Pál és János","","bárói","Kompolti Zsigmond","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"KSZ31","410.9","KSZ","Közép-Szolnok m.","Berekszó","királyi","királyi honor","szatmári ispán","nemesi","","Bélteki","bárói","Drágfi Bertalan","erdodi urad.","királyi > nemesi","nemesi > bárói","királyi > bárói","15","32","17"
"SZR38","16.7","SZR","Szatmár m.","Szennyes","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BSD55","17.9","BSD","Borsod m.","Valk","egyházi","bencések","tapolcai apát","egyházi","bencések","tapolcai apát","egyházi","bencések","tapolcai apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZR89","18.4","SZR","Szatmár m.","Gencs","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PI6","47","PI","Pilis m.","Szentendre","királyi","királyi honor","visegrádi urad.","királyi","királyi honor","visegrádi urad.","királyi","király","visegrádi urad.","királyi > királyi","királyi > királyi","királyi > királyi","14","28","20"
"SZB43","139.8","SZB","Szabolcs m.","Egyek","nemesi","","Ohati","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS46","33.5","HS","Heves m.","Adács","nemesi","Aba","Visontai","bárói","Pálóci László és Simon","","bárói","Pálóci Antal","ajnácskoi urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SN52","228.6","SN","Sopron m.","Kapuvár","királyi","királyi honor","vasi-soproni ispánság","bárói","Kanizsai Lászlóné és Imre","","bárói","Kanizsai család","kapuvári urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"SZR105","45.6","SZR","Szatmár m.","Penészlek","nemesi","Ákos","Pocsaji-Csire","nemesi","","Csire és Pocsaji","nemesi","","Csire és Pocsaji","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS50","27.5","HS","Heves m.","Zsadány","nemesi","Kacsics","Szécsényi","bárói","Rozgonyi család","","bárói","Rozgonyi István","cserépi urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"KM20","256.2","KM","Komárom m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"GY54","12.3","GY","Gyor m.","Réti","nemesi","Pok","Poki","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PI7","122.4","PI","Pilis m.","Nagyszántó","egyházi","ciszterciek","pilisi apát","egyházi","ciszterciek","pilisi apát","egyházi","ciszterciek","pilisi apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZR84","18.6","SZR","Szatmár m.","Kide","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS101","26.9","HS","Heves m.","Tepély","nemesi","","Besenyoi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI3","24.9","BI","Bihar m.","Tamási","","","","nemesi","","","nemesi","","Parlagi, Zólyomi","  > nemesi","nemesi > nemesi","  > nemesi","5","36","6"
"ESZ10","28","ESZ","Esztergom m.","Tardos","","","","","","","","ismeretlen birtokos","","  >","  >","  >","1","1","1"
"SN20","10.2","SN","Sopron m.","Loipersbach","","","","","","","nemesi","","Tompek","  >","  > nemesi","  > nemesi","1","6","6"
"PE62","11.8","PE","Pest m.","Bottyán","nemesi","Zsidó","Nézsai-Zsidói","nemesi","","Nézsai és Csövi","bárói","Ráskai Balázs","csovári urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"GY55","5.7","GY","Gyor m.","Kapi","egyházi","premontreiek","mórichidai prépost","egyházi","premontreiek","mórichidai prépost","egyházi","premontreiek","mórichidai prépost","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"GY11","156","GY","Gyor m.","Gyor","egyházi","püspök és kápt.","gyori","egyházi","püspök és káptalan","gyori püspök és káptalan","egyházi","püspök","gyori püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"GY52","32.7","GY","Gyor m.","Sövényháza","nemesi","Pok","Meggyesi","bárói","Garai László","","bárói","Szapolyai István","pápai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"KM34","8.4","KM","Komárom m.","Astancs","","","","","","","","ismeretlen birtokos","","  >","  >","  >","1","1","1"
"ESZ27","25","ESZ","Esztergom m.","Csolnok","egyházi","apácák","nyulakszigeti bencések","egyházi","apácák","nyulakszigeti bencések","egyházi","apácák","nyulakszigeti bencések","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"NO85","4.5","NO","Nógrád m.","Baj","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZR47","26","SZR","Szatmár m.","Mezoterem","nemesi","Kaplyon","Károlyi-ág","nemesi","","Vetési","nemesi","","Vetési","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PE64","6.2","PE","Pest m.","Ancstelke","nemesi","Ákos","Mikcsfi","bárói","Rozgonyi család","","bárói","Rozgonyi István","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZR40","32.6","SZR","Szatmár m.","Bánháza","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZB82","22.4","SZB","Szabolcs m.","Ártánháza","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZR78","20.8","SZR","Szatmár m.","Szoldobágy","királyi","királyi honor","szatmári ispán","nemesi","","Bélteki","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"PE65","14.2","PE","Pest m.","Iklad","nemesi","Ákos","Cselenfi","nemesi","","Sági","nemesi","","Sági Balázs","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ESZ21","44.2","ESZ","Esztergom m.","Ursáp","királyi","királyi honor","bakonyi ispán","bárói","Rozgonyi István id.","","bárói","Bot András","","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"SZB60","68.6","SZB","Szabolcs m.","Parlag","nemesi","","Parlagi","nemesi","","Parlagi","nemesi","","Parlagi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"KM31","149.1","KM","Komárom m.","Tata","nemesi","Hermán","Lackfi","királyi","királyné","komáromi ispánság","királyi","király","tatai urad.","nemesi > királyi","királyi > királyi","nemesi > királyi","19","28","27"
"KM30","46.5","KM","Komárom m.","Mocsa","egyházi","érsek","esztergomi érsek","egyházi","érsek","esztergomi érsek","egyházi","érsek","esztergomi érsek","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"BI156","94","BI","Bihar m.","Füred","egyházi","püspök","váradi","egyházi","püspök","váradi püspök","egyházi","püspök","váradi püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"PE14","100.8","PE","Pest m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PE66","17.6","PE","Pest m.","Varsány","nemesi","","Cudar","bárói","Cudar Simon","","","ismeretlen birtokos","","nemesi > bárói","bárói >","nemesi >","17","8","23"
"SN58","35.9","SN","Sopron m.","Bosárkány","egyházi","karthauziak","lövöldi perjel","egyházi","karthauziak","lövöldi perjel","bárói","Kanizsai család","kapuvári urad.","egyházi > egyházi","egyházi > bárói","egyházi > bárói","7","17","10"
"KSZ3","318.6","KSZ","Közép-Szolnok m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BSZ5","355.6","BSZ","Belso-Szolnok m.","Magyarlápos","nemesi","Tomaj","Losonci","bárói","Losonci Bánfi István","","nemesi","","Bánfi (losonci)","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"SZB57","45.8","SZB","Szabolcs m.","Kismacs","","","","bárói","Brankovics György","","bárói","Corvin János","debreceni urad.","  > bárói","bárói > bárói","  > bárói","2","9","2"
"GY46","14.3","GY","Gyor m.","Börcs","egyházi","ciszterciek","zirci apát","egyházi","ciszterciek","zirci apát","egyházi","ciszterciek","zirci apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"PE10","18.8","PE","Pest m.","Szentmiklós","","","","","","","","ismeretlen birtokos","","  >","  >","  >","1","1","1"
"HS61","68.9","HS","Heves m.","Poroszló","nemesi","","Poroszlói","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZB63","23.3","SZB","Szabolcs m.","Acsád","nemesi","Gútkeled","Diószegi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"GY53","28.6","GY","Gyor m.","Bödöge","egyházi","székeskáptalan","gyori","egyházi","székeskáptalan","gyori káptalan","egyházi","székeskáptalan","gyori káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"GY45","20.7","GY","Gyor m.","Abda","egyházi","székeskáptalan","gyori","egyházi","székeskáptalan","gyori káptalan","egyházi","székeskáptalan","gyori káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"BI35","26","BI","Bihar m.","Szentmiklós","","","","nemesi","","Csire és Pocsaji","nemesi","","Csire és Pocsaji","  > nemesi","nemesi > nemesi","  > nemesi","5","36","6"
"SZR82","19.8","SZR","Szatmár m.","Mezopetri","nemesi","Kaplyon","Károlyi-ág","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS107","13","HS","Heves m.","Alatka","nemesi","","Vécsi","nemesi","","Vécsi","nemesi","","Nagylucsei","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ESZ26","9.4","ESZ","Esztergom m.","Valmot","egyházi","johanniták","esztergomi","egyházi","johanniták","esztergomi","egyházi","johanniták","esztergomi","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ESZ9","14.5","ESZ","Esztergom m.","Vadács","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ESZ25","26.2","ESZ","Esztergom m.","Csév","nemesi","","Csévi Sáfár","egyházi","székeskáptalan","esztergomi káptalan","egyházi","székeskáptalan","esztergomi káptalan","nemesi > egyházi","egyházi > egyházi","nemesi > egyházi","18","18","25"
"HS94","24","HS","Heves m.","Bo","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZB46","306.3","SZB","Szabolcs m.","Újváros","nemesi","","Debreceni","bárói","Brankovics György","","bárói","Corvin János","debreceni urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"PE45","11.8","PE","Pest m.","Kishatvan","","","","nemesi","","Hatvani","nemesi","","Hatvani, Báncsai","  > nemesi","nemesi > nemesi","  > nemesi","5","36","6"
"PE17","63.1","PE","Pest m.","Szada","nemesi","","Poháros","nemesi","","Reichel","egyházi","püspök","váradi püspök","nemesi > nemesi","nemesi > egyházi","nemesi > egyházi","20","33","25"
"HS42","42.5","HS","Heves m.","Nagyhatvan","","","","nemesi","","Hatvani","nemesi","","Hatvani, Báncsai","  > nemesi","nemesi > nemesi","  > nemesi","5","36","6"
"GY47","29.7","GY","Gyor m.","Ikrény","nemesi","Osli","Kanizsai","bárói","Kanizsai Lászlóné és Imre","","bárói","Kanizsai család","kapuvári urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZR83","24.1","SZR","Szatmár m.","Reszege","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"GY50","33.9","GY","Gyor m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS55","23.4","HS","Heves m.","Boconád","nemesi","Aba","Domoszlói","bárói","Rozgonyi János id.","","nemesi","","Rozgonyi-örökösök","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"SN21","21.6","SN","Sopron m.","Sieggraben","","","","","","","idegen","Ausztria","","  >","  > idegen","  > idegen","1","4","4"
"PE15","209","PE","Pest m.","Tura","nemesi","Ákos","Mikcsfi","bárói","Rozgonyi család","","bárói","Rozgonyi István","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"KM35","12.3","KM","Komárom m.","Agostyán","nemesi","Hermán","Lackfi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZB61","25.9","SZB","Szabolcs m.","Bagos","nemesi","Balogsemjén","Kállói","nemesi","","Kállói","nemesi","","Kállói","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"JK1","1142.9","JK","Jászkun ter.","Jászberény","királyi","jászok","","királyi","jászkunok","","királyi","jászkunok","Jászság","királyi > királyi","királyi > királyi","királyi > királyi","14","28","20"
"KSZ2","16.6","KSZ","Közép-Szolnok m.","Cégény","egyházi","püspök","erdélyi","egyházi","püspök","erdélyi püspök","egyházi","püspök","erdélyi püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"PI8","30.3","PI","Pilis m.","Pomáz","nemesi","Kartal","Cikó","nemesi","","Cikó","nemesi","","Cikó Gáspár (básti)","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZB56","39.3","SZB","Szabolcs m.","Szentgyörgy","nemesi","Gútkeled","Várdai","nemesi","","Várdai","nemesi","","Várdai","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZR46","20.4","SZR","Szatmár m.","Vezend","nemesi","Kaplyon","Károlyi-ág","nemesi","","Károlyi","nemesi","","Károlyi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS44","65.4","HS","Heves m.","Csány","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"PE20","104.5","PE","Pest m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS54","32.2","HS","Heves m.","Méra","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SN40","510.1","SN","Sopron m.","Keresztúr","nemesi","Osli","Kanizsai","bárói","Kanizsai Lászlóné és Imre","","bárói","Kanizsai család","sárvári urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZB64","69.7","SZB","Szabolcs m.","Ábrányfalva","nemesi","Gútkeled","Bátori","bárói","Bátori (ecsedi és somlyói)","","bárói","Bátori (ecsedi és somlyói)","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"GY14","75.6","GY","Gyor m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ESZ12","40.3","ESZ","Esztergom m.","Héreg","egyházi","érsek","esztergomi érsek","egyházi","érsek","esztergomi érsek","egyházi","érsek","esztergomi érsek","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"HS93","20.5","HS","Heves m.","Zaránk","nemesi","Aba","Nánai Kompolt","bárói","Kompolti Pál és János","","bárói","Kompolti Zsigmond","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZB55","40.4","SZB","Szabolcs m.","Zelemér","nemesi","Gútkeled","Zeleméri","nemesi","","Zeleméri","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ESZ13","13.1","ESZ","Esztergom m.","Sárás","királyi","királyi honor","bakonyi ispán","bárói","Rozgonyi István id.","","bárói","Bot András","","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"PE7","29.3","PE","Pest m.","Káposztáskeszo","nemesi","Balog","Szécsi","bárói","Szécsi János (felsolendvai)","","királyi","király","solymári urad.","nemesi > bárói","bárói > királyi","nemesi > királyi","17","12","27"
"ESZ22","11.9","ESZ","Esztergom m.","Dág","","","","","","","","ismeretlen birtokos","","  >","  >","  >","1","1","1"
"SN44","31.3","SN","Sopron m.","Széplak","nemesi","Osli","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"HS51","25.6","HS","Heves m.","Visznek","nemesi","Aba","Domoszlói","bárói","Kompolti Pál és János","","bárói","Kompolti Zsigmond","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SN57","75.1","SN","Sopron m.","Csorna","vegyes","","vegyes","vegyes","","","vegyes","","Szapolyai, csornai prép., nemesek","vegyes > vegyes","vegyes > vegyes","vegyes > vegyes","22","41","32"
"KM28","16.2","KM","Komárom m.","Kisigmánd","nemesi","Hermán","Lackfi","királyi","királyné","komáromi ispánság","","ismeretlen birtokos","","nemesi > királyi","királyi >","nemesi >","19","23","23"
"SN59","7.3","SN","Sopron m.","Maglóca","nemesi","Osli","Ostfi","egyházi","premontreiek","csornai prépost","egyházi","premontreiek","csornai prépost","nemesi > egyházi","egyházi > egyházi","nemesi > egyházi","18","18","25"
"HS63","42.5","HS","Heves m.","Átány","nemesi","Aba","Szikszói","bárói","Kompolti Pál és János","","bárói","Kompolti Zsigmond","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"ESZ14","33","ESZ","Esztergom m.","Bajna","","","","","","","bárói","Bot András","","  >","  > bárói","  > bárói","1","2","2"
